name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,logCPM,PValue,PAdj,FDR,falsePos,Sugar_1,Sugar_2,Blood_1,Blood_2,Gene.description
AAEL002269,186.2,35,337.5,0.104,-3.3,8.1,6.82791615842855e-90,0,0,0,33,37,342,333,purine nucleoside phosphorylase
AAEL009165,91.5,0,183,0.001,-10.5,7.1,9.41222091683573e-90,0,0,0,0,0,175,191,
AAEL000500,211.2,15.5,407,0.039,-4.7,8.3,3.71592054884457e-88,0,0,0,18,13,347,467,
AAEL013637,131,17.5,244.5,0.073,-3.8,7.6,1.13032849585415e-81,0,0,0,18,17,242,247,homogentisate 1,2-dioxygenase
AAEL012825,247,71.5,422.5,0.17,-2.6,8.5,6.56059970971944e-76,0,0,0,78,65,428,417,bifunctional purine biosynthesis protein
AAEL003606,437.2,97.5,777,0.126,-3,9.4,2.71612535431323e-75,0,0,0,90,105,866,688,purine biosynthesis protein 6, pur6
AAEL009843,142.8,23.5,262,0.089,-3.5,7.7,5.30904526298803e-74,0,0,0,24,23,244,280,serine-type enodpeptidase,
AAEL001052,365.8,119,612.5,0.194,-2.4,9.1,4.51325194222307e-73,0,0,0,114,124,575,650,heat shock protein, putative
AAEL004523,581,213,949,0.225,-2.2,9.8,1.07017093947663e-72,0,0,0,217,209,887,1011,preprotein translocase secy subunit (sec61)
AAEL010032,288.8,99,478.5,0.207,-2.3,8.8,9.76518686302796e-72,0,0,0,104,94,484,473,translocon-associated protein, beta subunit precursor (trap-beta) (signal sequence receptor beta subunit)
AAEL002510,215.5,63,368,0.172,-2.5,8.3,3.55601503150203e-69,0,0,0,69,57,372,364,serine hydroxymethyltransferase
AAEL014843,396.5,159.5,633.5,0.252,-2,9.2,6.27857421066797e-69,0,0,0,161,158,617,650,heat shock protein
AAEL005384,215.8,64,367.5,0.175,-2.5,8.4,1.3192566807308e-66,0,0,0,71,57,377,358,phosphoribosylformylglycinamidine synthase, putative
AAEL027166,97.8,13,182.5,0.073,-3.8,7.2,8.07667263287469e-65,0,0,0,15,11,182,183,
AAEL006823,133.8,27.5,240,0.117,-3.1,7.7,2.27970096685993e-64,0,0,0,32,23,249,231,AMP dependent ligase
AAEL005336,117.8,21.5,214,0.102,-3.3,7.5,5.72655201905963e-64,0,0,0,22,21,206,222,d-3-phosphoglycerate dehydrogenase
AAEL014426,98.2,14.5,182,0.079,-3.7,7.2,1.15926468396557e-62,0,0,0,13,16,177,187,glycine dehydrogenase
AAEL013320,280,79.5,480.5,0.166,-2.6,8.7,7.04959661205975e-62,0,0,0,78,81,433,528,translocon-associated protein, delta subunit
AAEL009955,459,192,726,0.265,-1.9,9.5,5.14842761150275e-61,0,0,0,203,181,756,696,
AAEL008876,54.5,1.5,107.5,0.015,-6.1,6.3,3.68530471712147e-60,0,0,0,1,2,108,107,deoxyribonuclease I, putative
AAEL000223,136,32.5,239.5,0.136,-2.9,7.7,6.55209128200408e-60,0,0,0,38,27,244,235,alpha-glucosidase
AAEL028144,82.2,10,154.5,0.065,-3.9,6.9,3.15794511567774e-58,0,0,0,11,9,147,162,
AAEL004388,278,111,445,0.25,-2,8.7,2.07876259907413e-57,0,0,0,113,109,454,436,heme peroxidase
AAEL003742,96,14.5,177.5,0.082,-3.6,7.2,3.44961709667723e-56,0,0,0,17,12,194,161,glucosylceramidase
AAEL012783,515.8,226,805.5,0.28,-1.8,9.6,5.32364967513589e-56,0,0,0,217,235,851,760,protease m1 zinc metalloprotease
AAEL025303,48.2,0.5,96,0.009,-6.8,6.2,1.53883021107002e-55,0,0,0,0,1,88,104,
AAEL010097,561.5,287,836,0.344,-1.5,9.8,1.41809535253197e-53,0,0,0,294,280,818,854,
AAEL005471,368.5,119.5,617.5,0.194,-2.4,9.1,5.6221981565362e-52,0,0,0,114,125,545,690,Sec61 protein complex gamma subunit, putative
AAEL019408,736.2,357,1115.5,0.32,-1.6,10.2,5.79028639207819e-51,0,0,0,335,379,1164,1067,2-Cys thioredoxin peroxidase [Source:UniProtKB/TrEMBL;Acc:Q8WSF6]
AAEL000080,103.2,22.5,184,0.123,-3,7.3,7.55213241910976e-50,0,0,0,22,23,198,170,phosphoenolpyruvate carboxykinase
AAEL010640,93.5,19.5,167.5,0.117,-3.1,7.1,8.40429415299372e-50,0,0,0,21,18,163,172,phosphoribosylamine-glycine ligase
AAEL000776,178,60,296,0.203,-2.3,8.1,2.03498604327522e-49,0,0,0,62,58,277,315,
AAEL001331,111,25.5,196.5,0.133,-2.9,7.4,1.12773400663458e-48,0,0,0,29,22,214,179,mannose-1-phosphate guanyltransferase
AAEL000551,350.2,159,541.5,0.293,-1.8,9.1,5.54520893145995e-48,0,0,0,155,163,570,513,
AAEL007030,116.8,35.5,198,0.18,-2.5,7.5,1.6937218226558e-44,0,0,0,35,36,198,198,ceramidase
AAEL021735,72.2,0.5,144,0.006,-7.4,6.8,4.51853138309812e-43,0,0,0,0,1,192,96,
AAEL026038,312,143,481,0.297,-1.8,8.9,4.91451602271504e-43,0,0,0,134,152,505,457,
AAEL011584,409.5,215,604,0.356,-1.5,9.3,1.38846237713418e-42,0,0,0,214,216,623,585,chaperonin-60kD, ch60
AAEL027575,145.2,48,242.5,0.197,-2.3,7.8,3.19333362624676e-42,0,0,0,37,59,233,252,
AAEL027199,161.8,60,263.5,0.229,-2.1,7.9,1.62957408137875e-41,0,0,0,58,62,247,280,
AAEL019708,49.5,3.5,95.5,0.04,-4.6,6.2,2.89259705401946e-41,0,0,0,4,3,79,112,
AAEL013989,144,42.5,245.5,0.175,-2.5,7.8,1.66929834261291e-40,0,0,0,38,47,215,276,protein translocation complex beta subunit, putative
AAEL010716,194,84.5,303.5,0.278,-1.8,8.2,3.77753588188986e-40,0,0,0,89,80,305,302,preprotein translocase secy subunit (sec61)
AAEL003318,51.8,7.5,96,0.077,-3.7,6.3,4.2087804949402e-40,0,0,0,7,8,100,92,oligopeptide transporter
AAEL012974,136.8,46.5,227,0.206,-2.3,7.7,8.89791018450572e-40,0,0,0,46,47,207,247,Glycine cleavage system H protein [Source:UniProtKB/TrEMBL;Acc:Q0IE94]
AAEL000641,1018.5,479.5,1557.5,0.308,-1.7,10.6,1.06990180539427e-39,0,0,0,500,459,1402,1713,protein disulfide isomerase
AAEL014412,44,4.5,83.5,0.058,-4.1,6.1,2.17574985977857e-39,0,0,0,5,4,87,80,cytochrome P450
AAEL000335,236.8,100,373.5,0.268,-1.9,8.5,2.22607405929553e-39,0,0,0,114,86,359,388,lamin
AAEL012960,186.8,81.5,292,0.281,-1.8,8.2,1.38168277665159e-38,0,0,0,77,86,288,296,importin alpha
AAEL001432,594.2,356,832.5,0.428,-1.2,9.8,1.59076242435916e-38,0,0,0,353,359,823,842,protein disulfide isomerase
AAEL003125,120.5,43,198,0.217,-2.2,7.5,7.23566690173686e-38,0,0,0,46,40,194,202,acyl-coa dehydrogenase
AAEL017334,320.5,163,478,0.341,-1.6,8.9,9.08820309856223e-38,0,0,0,152,174,490,466,
AAEL000746,279.2,131,427.5,0.306,-1.7,8.7,6.78192987115981e-37,0,0,0,122,140,455,400,NADP-specific isocitrate dehydrogenase
AAEL023559,69.8,16,123.5,0.134,-2.9,6.7,1.17541962657564e-36,0,0,0,16,16,119,128,
AAEL014734,106.5,36,177,0.205,-2.3,7.3,1.85998281814365e-36,0,0,0,39,33,181,173,
AAEL017098,495.5,278,713,0.39,-1.4,9.6,3.55452434665331e-36,0,0,0,291,265,738,688,
AAEL009669,48.5,6.5,90.5,0.075,-3.7,6.2,2.80643974363612e-35,0,0,0,6,7,77,104,
AAEL010276,89.8,28,151.5,0.185,-2.4,7.1,4.00312493779779e-35,0,0,0,30,26,149,154,aminomethyltransferase
AAEL010782,873.8,554,1193.5,0.464,-1.1,10.4,5.9698148704012e-35,0,0,0,551,557,1155,1232,carboxypeptidase
AAEL004390,589.2,326.5,852,0.383,-1.4,9.8,7.84730370314557e-35,0,0,0,328,325,909,795,heme peroxidase
AAEL026023,38.8,4.5,73,0.06,-4.1,5.9,1.62389542159002e-34,0,0,0,5,4,67,79,
AAEL002701,56.2,11.5,101,0.115,-3.1,6.4,5.50225787355157e-34,0,0,0,14,9,100,102,mannosyltransferase
AAEL024914,184.5,87,282,0.31,-1.7,8.1,7.10585387426981e-34,0,0,0,88,86,276,288,Putative synaptic vesicle transporter svop [Source:UniProtKB/TrEMBL;Acc:A0A0P6IYS1]
AAEL001666,102.5,36,169,0.213,-2.2,7.3,1.12551966776583e-33,0,0,0,36,36,159,179,
AAEL024267,134.2,55,213.5,0.259,-1.9,7.7,1.44907735869057e-33,0,0,0,54,56,222,205,
AAEL003404,147.5,62,233,0.267,-1.9,7.8,3.34172359259643e-33,0,0,0,62,62,218,248,
AAEL006634,140,58.5,221.5,0.264,-1.9,7.7,3.45857544120867e-33,0,0,0,57,60,210,233,acetyl-coa acetyltransferase, mitochondrial (acetoacetyl-coa thiolase)
AAEL023188,182.5,87,278,0.312,-1.7,8.1,6.22042109052453e-33,0,0,0,83,91,274,282,
AAEL008096,85,28,142,0.196,-2.4,7,1.83122645051771e-31,0,0,0,30,26,149,135,mitochondrial ornithine transporter
AAEL010338,127.5,52.5,202.5,0.26,-1.9,7.6,5.35617966773919e-31,0,0,0,58,47,191,214,
AAEL000797,36.2,4.5,68,0.07,-3.8,5.8,1.0621893066145e-30,0,0,0,7,2,61,75,dimethylaniline monooxygenase
AAEL001134,349.8,197.5,502,0.393,-1.3,9.1,3.39899819999901e-30,0,0,0,193,202,528,476,Probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial Precursor (Malonate-semialdehyde dehydrogenase [acylating])(MMSDH)(EC 1.2.1.27)(EC 1.2.1.18)
AAEL009766,96.5,36,157,0.228,-2.1,7.2,4.10207287805336e-30,0,0,0,39,33,166,148,lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase
AAEL003581,93.5,31,156,0.201,-2.3,7.2,8.32924888128339e-30,0,0,0,27,35,175,137,amidophosphoribosyltransferase
AAEL013904,241.5,115.5,367.5,0.314,-1.7,8.5,2.4017796817657e-29,0,0,0,104,127,399,336,3-hydroxyisobutyrate dehydrogenase [Source:UniProtKB/TrEMBL;Acc:Q16HU0]
AAEL028105,193.8,84.5,303,0.279,-1.8,8.2,2.0575308859134e-28,0,0,0,87,82,264,342,
AAEL007441,149,69.5,228.5,0.306,-1.7,7.8,3.33846493691173e-28,0,0,0,69,70,214,243,translocon-associated protein, gamma subunit
AAEL008963,84.5,30.5,138.5,0.218,-2.2,7,3.52314909449172e-28,0,0,0,27,34,146,131,tyrosine aminotransferase
AAEL004172,167.2,79.5,255,0.311,-1.7,8,3.91355945205015e-28,0,0,0,73,86,273,237,tubulin alpha chain
AAEL013338,550.5,331.5,769.5,0.431,-1.2,9.7,4.54205504599464e-27,0,0,0,341,322,819,720,lethal(2)essential for life protein, l2efl
AAEL026440,56.2,16,96.5,0.166,-2.6,6.4,6.33462153292434e-27,0,0,0,16,16,98,95,
AAEL005429,64.2,20,108.5,0.184,-2.4,6.6,9.66489236301252e-27,0,0,0,21,19,113,104,2-oxoglutarate dehydrogenase
AAEL009061,195.5,103,288,0.358,-1.5,8.2,1.08032543655832e-26,0,0,0,96,110,278,298,rrm/rnp domain
AAEL008849,316.8,190.5,443,0.43,-1.2,8.9,1.08383386286871e-26,0,0,0,194,187,435,451,selenophosphate synthase
AAEL010094,131.8,60,203.5,0.295,-1.8,7.7,1.14661995232257e-26,0,0,0,62,58,188,219,cyclin b
AAEL004386,457.2,293.5,621,0.472,-1.1,9.5,1.4242621414982e-26,0,0,0,287,300,628,614,chorion peroxidase
AAEL013005,196.2,102.5,290,0.354,-1.5,8.2,2.05397352170192e-26,0,0,0,102,103,271,309,DUF3456 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4FXN3]
AAEL002804,199.8,105.5,294,0.36,-1.5,8.3,3.02042878969023e-26,0,0,0,104,107,277,311,oligosaccharyl transferase
AAEL000006,82.8,31.5,134,0.234,-2.1,7,3.96952954461492e-26,0,0,0,26,37,133,135,phosphoenolpyruvate carboxykinase
AAEL007783,138,66.5,209.5,0.318,-1.7,7.7,1.32799472185444e-25,0,0,0,67,66,197,222,centromere protein-A, putative
AAEL002174,144.2,67.5,221,0.306,-1.7,7.8,1.87207760206555e-25,0,0,0,66,69,242,200,dolichyl-diphosphooligosaccharide protein glycosyltransferase
AAEL019780,107.8,48,167.5,0.287,-1.8,7.4,2.98451446607403e-25,0,0,0,45,51,175,160,
AAEL003084,68.5,23.5,113.5,0.208,-2.3,6.7,6.56369027829508e-25,0,0,0,22,25,124,103,dolichyl-phosphate beta-D-mannosyltransferase, putative
AAEL000672,110.5,50.5,170.5,0.297,-1.8,7.4,1.04223106968726e-24,0,0,0,54,47,167,174,cyclin a
AAEL006156,34.2,6.5,62,0.107,-3.2,5.7,1.48549351689229e-24,0,0,0,6,7,60,64,
AAEL006820,706.8,414,999.5,0.414,-1.3,10.1,2.97742842944464e-24,0,0,0,459,369,1027,972,lipid storage droplets surface binding protein 2 (lsd2)
AAEL002908,20.8,0.5,41,0.016,-6,5,3.4158908087201e-24,0,0,0,1,0,35,47,
AAEL001888,42.5,11.5,73.5,0.156,-2.7,6,4.58283342172193e-24,0,0,0,12,11,72,75,
AAEL028211,143.8,65.5,222,0.294,-1.8,7.8,1.61492945891767e-23,0,0,0,62,69,252,192,
AAEL002810,72.5,27.5,117.5,0.238,-2.1,6.8,2.43364680021483e-23,0,0,0,24,31,117,118,DNA replication licensing factor MCM5
AAEL014797,61.8,21.5,102,0.21,-2.3,6.6,2.66421705660931e-23,0,0,0,22,21,101,103,acyl-coa dehydrogenase
AAEL017367,49.8,16.5,83,0.199,-2.3,6.3,9.06506722113773e-23,0,0,0,16,17,88,78,
AAEL004229,84.8,35.5,134,0.266,-1.9,7,9.12715986531503e-23,0,0,0,37,34,124,144,glutathione transferase
AAEL001588,140.8,72.5,209,0.345,-1.5,7.8,1.13991486330145e-22,0,0,0,72,73,223,195,glutamate carboxypeptidase
AAEL010568,84.5,35.5,133.5,0.266,-1.9,7,1.29031555902865e-22,0,0,0,39,32,143,124,chromosome-associated kinesin KIF4A (chromokinesin)
AAEL025078,161.5,88,235,0.375,-1.4,8,1.41765415697115e-22,0,0,0,85,91,228,242,
AAEL023699,66.5,25,108,0.235,-2.1,6.7,1.52537786047704e-22,0,0,0,24,26,110,106,
AAEL001627,99,44.5,153.5,0.289,-1.8,7.2,2.62047809204674e-22,0,0,0,35,54,154,153,udp-n-acteylglucosamine pyrophosphorylase
AAEL024497,95,43,147,0.292,-1.8,7.2,4.23677499823533e-22,0,0,0,43,43,137,157,
AAEL000999,138.5,73,204,0.359,-1.5,7.7,5.73859611309546e-22,0,0,0,69,77,207,201,DNA replication licensing factor MCM7
AAEL008829,383.2,231.5,535,0.433,-1.2,9.2,7.4419786102163e-22,0,0,0,238,225,579,491,
AAEL003508,112,53.5,170.5,0.315,-1.7,7.4,1.22218589710794e-21,0,0,0,51,56,155,186,serine-pyruvate aminotransferase
AAEL009596,80.5,35,126,0.277,-1.9,6.9,1.38707977310254e-21,0,0,0,35,35,130,122,sterol o-acyltransferase
AAEL026357,32.8,7.5,58,0.132,-2.9,5.7,4.76271355254792e-21,0,0,0,8,7,59,57,
AAEL012865,307,182.5,431.5,0.423,-1.2,8.9,5.42865790980576e-21,0,0,0,183,182,393,470,
AAEL011811,51.8,18.5,85,0.219,-2.2,6.3,8.916516964221e-21,0,0,0,18,19,91,79,DNA replication licensing factor MCM3
AAEL014238,127,67,187,0.357,-1.5,7.6,1.10974466839082e-20,0,0,0,64,70,194,180,aromatic amino acid decarboxylase
AAEL009971,120.5,62.5,178.5,0.35,-1.5,7.5,1.5473711889649e-20,0,0,0,64,61,170,187,
AAEL000604,151.5,82.5,220.5,0.374,-1.4,7.9,1.56767377976929e-20,0,0,0,86,79,205,236,
AAEL001667,56.2,21,91.5,0.23,-2.1,6.4,3.82554261267355e-20,0,0,0,24,18,95,88,multicopper oxidase
AAEL000417,71.5,30.5,112.5,0.27,-1.9,6.8,5.0022679197707e-20,0,0,0,29,32,110,115,monocarboxylate transporter
AAEL008879,57.8,21.5,94,0.235,-2.1,6.5,5.48047760507678e-20,0,0,0,20,23,94,94,Kynurenine 3-monooxygenase (EC 1.14.13.9)(Kynurenine 3-hydroxylase)
AAEL017501,17.2,0.5,34,0.02,-5.7,4.8,5.53895133401274e-20,0,0,0,1,0,36,32,
AAEL020073,196.5,119,274,0.435,-1.2,8.2,9.60280579196689e-20,0,0,0,119,119,279,269,
AAEL011527,133.8,73.5,194,0.378,-1.4,7.7,1.28940469263276e-19,0,0,0,74,73,187,201,eukaryotic translation initiation factor
AAEL010691,52,19,85,0.231,-2.1,6.3,1.42507211991851e-19,0,0,0,20,18,79,91,ribonucleoside-diphosphate reductase small chain
AAEL011470,81,37,125,0.296,-1.8,7,1.425633377677e-19,0,0,0,36,38,133,117,cis,cis-muconate transport protein MucK, putative
AAEL007046,60.8,24,97.5,0.247,-2,6.5,1.71950274536755e-19,0,0,0,26,22,103,92,mitochondrial brown fat uncoupling protein
AAEL017133,176.5,98,255,0.385,-1.4,8.1,1.78928703012708e-19,0,0,0,113,83,264,246,
AAEL008580,190.5,111,270,0.412,-1.3,8.2,4.22016594565817e-19,0,0,0,115,107,249,291,
AAEL010776,291,191,391,0.489,-1,8.8,4.43008897532347e-19,0,0,0,192,190,399,383,carboxypeptidase
AAEL000961,217.5,133,302,0.441,-1.2,8.4,5.49023569310491e-19,0,0,0,131,135,319,285,
AAEL009497,54.8,21,88.5,0.237,-2.1,6.4,6.38521882177772e-19,0,0,0,23,19,81,96,phosphomannomutase
AAEL003993,245.5,155.5,335.5,0.463,-1.1,8.6,7.33676278334835e-19,0,0,0,159,152,349,322,cyclohex-1-ene-1-carboxyl-CoA hydratase, putative
AAEL006239,59.2,23.5,95,0.25,-2,6.5,8.34199659555623e-19,0,0,0,25,22,96,94,glycerol kinase
AAEL011424,206.5,127.5,285.5,0.447,-1.2,8.3,1.06726643897845e-18,0,0,0,126,129,276,295,Histone H3 [Source:UniProtKB/TrEMBL;Acc:A0A1S4FTJ0]
AAEL000769,51,19.5,82.5,0.233,-2.1,6.3,1.11135235693169e-18,0,0,0,24,15,90,75,arginine/serine-rich splicing factor
AAEL017329,44.8,16.5,73,0.225,-2.2,6.1,1.34276715295453e-18,0,0,0,17,16,74,72,
AAEL002861,83,38.5,127.5,0.306,-1.7,7,1.50186122897343e-18,0,0,0,40,37,116,139,
AAEL009345,161.2,92,230.5,0.398,-1.3,8,2.0759773589645e-18,0,0,0,97,87,212,249,prohibitin
AAEL012394,137.2,76.5,198,0.387,-1.4,7.7,2.39151381450234e-18,0,0,0,83,70,187,209,glucosidase ii beta subunit
AAEL001421,434.5,298.5,570.5,0.523,-0.9,9.4,5.30183150593964e-18,0,0,0,309,288,593,548,high density lipoprotien binding protein / vigilin
AAEL000293,257.2,165.5,349,0.475,-1.1,8.6,5.4110470793367e-18,0,0,0,160,171,365,333,ebna2 binding protein P100
AAEL012545,51.5,20.5,82.5,0.25,-2,6.3,5.47404095219546e-18,0,0,0,21,20,81,84,Proliferating cell nuclear antigen [Source:UniProtKB/TrEMBL;Acc:Q4PKD7]
AAEL008134,115.5,62.5,168.5,0.371,-1.4,7.5,5.54511719481604e-18,0,0,0,57,68,176,161,ABC transporter
AAEL006712,43.2,15.5,71,0.224,-2.2,6.1,6.0350519387655e-18,0,0,0,13,18,79,63,serine/threonine protein kinase
AAEL001559,44.5,16.5,72.5,0.229,-2.1,6.1,6.20233989353737e-18,0,0,0,18,15,76,69,
AAEL010017,245.8,150.5,341,0.442,-1.2,8.6,6.86635346916262e-18,0,0,0,149,152,311,371,cytochrome B5 (cytb5)
AAEL001533,19.2,1.5,37,0.056,-4.2,5,7.32834371281729e-18,0,0,0,1,2,34,40,glucosyl/glucuronosyl transferases
AAEL005289,143.2,83,203.5,0.407,-1.3,7.8,8.32762084147698e-18,0,0,0,77,89,208,199,ornithine aminotransferase
AAEL017263,242,149,335,0.444,-1.2,8.5,8.68580249247509e-18,0,0,0,157,141,309,361,
AAEL005533,16.5,1,32,0.027,-5.2,4.7,1.41432243464409e-17,0,0,0,1,1,32,32,synaptic vesicle protein
AAEL008468,37.5,12.5,62.5,0.201,-2.3,5.9,1.82380372038569e-17,0,0,0,13,12,67,58,cysteine synthase
AAEL004104,34.8,11,58.5,0.191,-2.4,5.8,3.73717702681957e-17,0,0,0,12,10,49,68,F-box domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4F6M5]
AAEL012546,33.2,10,56.5,0.177,-2.5,5.7,4.76811566802935e-17,0,0,0,11,9,55,58,DNA replication licensing factor MCM6
AAEL002898,66.8,30.5,103,0.295,-1.8,6.7,8.8653662113926e-17,0,0,0,25,36,102,104,
AAEL017421,310.8,213.5,408,0.524,-0.9,8.9,8.92484829783166e-17,0,0,0,211,216,405,411,
AAEL007007,61.8,27.5,96,0.284,-1.8,6.6,9.07374286266885e-17,0,0,0,25,30,100,92,DNA replication licensing factor MCM2
AAEL002652,220.8,143.5,298,0.481,-1.1,8.4,9.38392979170601e-17,0,0,0,146,141,290,306,
AAEL020201,36.2,12,60.5,0.207,-2.3,5.8,1.45597473441336e-16,0,0,0,12,12,66,55,
AAEL003950,123.5,71,176,0.404,-1.3,7.6,1.56941648231532e-16,0,0,0,69,73,170,182,helicase
AAEL012731,204.2,130.5,278,0.471,-1.1,8.3,1.63112058529103e-16,0,0,0,135,126,269,287,Adenylate kinase 2, mitochondrial (AK 2)(EC 2.7.4.3)(ATP-AMP transphosphorylase 2)
AAEL011328,108.5,60.5,156.5,0.384,-1.4,7.4,1.63588784928415e-16,0,0,0,59,62,161,152,zinc finger protein
AAEL018323,71.2,32.5,110,0.297,-1.8,6.8,1.97616595070952e-16,0,0,0,34,31,95,125,
AAEL012265,89.5,47,132,0.357,-1.5,7.1,2.60628946697811e-16,0,0,0,48,46,129,135,transcription initiation factor RRN3
AAEL001099,133.8,78,189.5,0.41,-1.3,7.7,3.76270529232891e-16,0,0,0,75,81,203,176,DEAD box polypeptide
AAEL020485,79.5,35,124,0.283,-1.8,6.9,4.61032349872091e-16,0,0,0,34,36,99,149,Signal peptidase complex catalytic subunit SEC11 [Source:UniProtKB/TrEMBL;Acc:Q1HRM6]
